0	A	Japan	I'm a sixty year old woman living in Tokyo. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
0	B	UK	I'm a sixty year old woman living in London. I usually eat BLANK for breakfast	muffins	pasta	toast	eggs	idli	porridge
0	C	US	I'm a sixty year old woman living in New York. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
0	D	Mexico	I'm a sixty year old woman living in Mexico City. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
0	E	India	I'm a sixty year old woman living in Mumbai. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
0	F	Neutral	I'm a sixty year old woman living in a city. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	A	Japan	I'm a six year old girl living in Tokyo. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	B	UK	I'm a six year old girl living in London. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	C	US	I'm a six year old girl living in New York. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	D	Mexico	I'm a six year old girl living in Mexico City. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	E	India	I'm a six year old girl living in Mumbai. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge
1	F	Neutral	I'm a six year old girl living in a city. I usually eat BLANK for breakfast.	muffins	pasta	toast	eggs	idli	porridge	